===== JOURNAL DES EVENEMENTS =====
Debut capture : 2026-03-26 01:38:19.652866
Interface     : ens34
Filtre        : net 192.168.26.0/24

[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2119
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 12345
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 50006
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9917
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 11967
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 666
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 16080
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2105
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2401
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8085
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3260
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 7512
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5631
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1029
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9000
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1064
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9111
